foodname,エネルギー(kcal),タンパク質(g),脂質(kcal),脂肪酸 飽和(g),n-6系 多価不飽和(g),n-3系 多価不飽和(g),炭水化物(g),食物繊維 総量(g),ビタミンA(μg),ビタミンD(μg),ビタミンE(mg),ビタミンK(μg),ビタミンB1(mg),ビタミンB2(mg),ナイアシン(mg),ビタミンB6(mg),ビタミンB12(μg),葉酸(μg),パントテン酸(mg),ビオチン(μg),ビタミンC(mg),ナトリウム(mg),カリウム(mg),カルシウム(mg),マグネシウム(mg),リン(mg),鉄(mg),亜鉛(mg),銅(mg),マンガン(mg),ヨウ素(μg),セレン(μg),クロム(μg),モリブデン(μg)
sushi,588.0,35.48,87.66,1.91,0.82,1.64,85.81,1.75,200.44,13.2,4.71,23.49,0.31,0.35,6.12,0.43,15.42,107.97,1.95,4.71,9.46,1940.96,612.64,83.43,102.28,491.16,2.49,3.04,0.62,0.97,8359.18,33.96,0.93,69.68
croque_madame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macaroni_and_cheese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tacos,145.0,6.01,51.93,1.97,0.77,0.13,15.73,0.92,23.44,0.02,0.57,8.74,0.05,0.06,1.07,0.1,0.34,18.95,0.37,0.9,6.87,450.62,152.97,40.68,10.48,71.43,0.62,1.02,0.03,0.12,1.05,1.76,0.42,2.97
cup_cakes,176.0,2.31,86.58,5.62,0.42,0.05,19.43,0.3,94.76,0.26,0.28,3.74,0.03,0.04,0.09,0.01,0.11,5.58,0.23,2.69,0.02,56.96,56.0,25.86,2.95,52.26,0.29,0.19,0.02,0.06,1.92,3.74,0.24,2.02
macarons,69.0,0.78,25.11,1.64,0.11,0.01,10.09,0.16,31.86,0.06,0.13,6.83,0.0,0.01,0.03,0.0,0.02,3.71,0.07,0.73,0.12,6.2,14.88,3.25,1.33,7.87,0.11,0.05,0.0,0.02,0.41,1.15,0.07,0.53
takoyaki,317.0,12.57,73.71,1.35,2.42,0.43,44.98,1.84,40.14,0.48,1.49,11.42,0.11,0.17,2.09,0.09,1.26,16.25,0.7,6.25,0.56,531.24,245.58,42.16,34.53,133.01,1.72,0.88,0.19,0.4,17.27,8.51,1.21,7.39
deviled_eggs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miso_soup,31.0,1.63,3.24,0.05,0.19,0.03,5.02,0.67,0.0,0.0,0.03,0.96,0.03,0.03,1.62,0.02,0.48,4.13,0.05,0.65,0.0,342.4,141.61,14.4,10.23,36.4,0.41,0.1,0.03,0.0,0.0,0.24,0.24,3.96
tiramisu,398.0,8.68,226.53,13.95,1.16,0.19,35.2,1.73,215.48,0.87,1.03,11.76,0.07,0.22,0.41,0.04,0.44,23.6,0.82,9.48,0.0,126.43,261.0,65.58,35.25,157.77,1.69,1.25,0.26,0.08,7.7,10.3,0.42,5.77
donutsドーナツ,45.14,32.4,2008.8,8.92,0.0,2.36,3.14,0.0,0.06,0.93,11.53,299.1,0.06,0.01,126.71,0.11,0.05,0.29,62.7,24.48,0.1,119.1,18.42,0.28,0.09,189.3,0.03,116.4,0.32,5.21,72.0,3.09,94.8,2.24
mussels,8.0,1.24,1.53,0.03,0.0,0.03,0.38,0.0,4.08,0.0,0.13,0.0,0.0,0.04,0.17,0.0,1.24,5.04,0.08,0.0,0.6,64.8,27.6,5.16,8.76,19.2,0.42,0.12,0.01,0.1,0.0,0.0,0.0,0.0
tuna_tartare,210.0,16.73,100.17,2.04,3.44,0.18,7.47,1.45,107.25,3.03,1.21,5.48,0.11,0.14,7.66,0.59,0.94,27.59,0.72,8.54,1.69,679.2,327.36,49.4,43.17,228.57,1.74,0.88,0.11,0.2,11.69,61.48,0.54,9.87
dumpling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nachos,487.0,17.62,239.67,9.65,4.19,0.82,41.04,2.23,152.45,0.02,2.96,27.38,0.11,0.23,1.89,0.18,0.98,37.9,0.77,3.39,14.13,772.5,338.78,287.73,30.07,270.57,1.34,2.57,0.11,0.3,7.24,7.99,1.07,11.27
waffles,212.0,3.24,68.67,2.79,1.41,0.23,31.34,0.74,44.41,0.2,0.59,7.18,0.07,0.07,0.29,0.03,0.09,24.87,0.3,3.94,0.07,93.35,56.67,17.06,4.85,41.24,0.37,0.22,0.03,0.12,2.3,3.68,0.47,3.42
edamame,186.0,16.15,77.04,1.16,3.11,0.72,12.14,6.9,30.36,0.0,1.1,41.4,0.43,0.21,2.21,0.21,0.0,441.6,0.73,15.32,37.26,1.38,814.2,80.04,85.56,234.6,3.73,1.93,0.57,0.98,0.0,1.38,1.38,331.2
omelette,353.0,23.08,201.96,6.13,3.81,0.52,11.16,1.18,198.81,2.35,2.47,26.86,0.35,0.61,2.75,0.33,1.25,60.84,2.42,31.75,6.65,907.1,466.01,77.53,30.03,307.85,2.87,2.7,0.19,0.09,19.9,40.61,1.5,8.95
