name,名称,18:1 オレイン酸(mg),18:2 n-6 リノール酸(mg),18:3 n-3 α－リノレン酸(mg),18:3 n-6 γ－リノレン酸(mg),18:4 n-3 オクタデカテトラエン酸(mg),20:2 n-6 イコサジエン酸(mg),20:3 n-6 イコサトリエン酸(mg),20:4 n-3 イコサテトラエン酸(mg),20:4 n-6 アラキドン酸(mg),20:5 n-3 イコサペンタエン酸(mg),21:5 n-3 ヘンイコサペンタエン酸(mg),22:4 n-6 ドコサテトラエン酸(mg),22:5 n-3 ドコサペンタエン酸(mg),22:5 n-6 ドコサペンタエン酸(mg),22:6 n-3 ドコサヘキサエン酸(mg),Unnamed: 73,Unnamed: 74,n-3系 多価不飽和(g),n-6系 多価不飽和(g),name,アスパラギン酸(mg),アミノ酸合計(mg),アラニン(mg),アルギニン(mg),アンモニア(mg),イソロイシン(mg),エネルギー(kcal),カリウム(mg),カルシウム(mg),クロム(μg),グリシン(mg),グルタミン酸(mg),セリン(mg),セレン(μg),タンパク質(g),トリプトファン(mg),トレオニン(スレオニン)(mg),ナイアシン(mg),ナトリウム(mg),バリン(mg),パントテン酸(mg),ヒスチジン(mg),ビオチン(μg),ビタミンA(μg),ビタミンB1(mg),ビタミンB12(μg),ビタミンB2(mg),ビタミンB6(mg),ビタミンC(mg),ビタミンD(μg),ビタミンE(mg),ビタミンK(μg),プロリン(mg),マグネシウム(mg),マンガン(mg),モリブデン(μg),ヨウ素(μg),リシン(リジン)(mg),リン(mg),ロイシン(mg),亜鉛(mg),含硫アミノ酸(mg),炭水化物(g),脂肪酸 一価不飽和(g),脂肪酸 多価不飽和(g),脂肪酸 総量(g),脂肪酸 飽和(g),脂質(g),芳香族アミノ酸(mg),葉酸(μg),鉄(mg),銅(mg),食塩相当量(g),食物繊維 総量(g)
guacamole,ワカモレ,950.55,202.66,13.27,,,,,,,,,,,,,,,0.01,0.2,,31.33,268.1,13.64,16.79,7.15,10.89,21,92.26,2.59,0.01,13.98,48.88,15.18,0.18,0.36,4,11.65,0.25,81.47,13.65,0.19,7.34,0.69,3.63,0.01,,0.02,0.03,2.58,,0.38,0.2,12.5,4.46,0.02,0.38,0.03,16.93,8.53,19.35,0.09,10.4,1.32,1.08,0.22,1.62,0.32,1.9,20.44,10.19,0.13,0.02,0.21,0.64
samosa,サモサ,3725.45,2993.47,561.82,,,2.24,2.24,,7.42,1.12,,1.82,1.96,,3.08,,,0.56,3,,359.41,4166.2,207.5,266.41,106.03,185.2,149,138.62,12.03,0.97,202.08,901.6,162.74,3.47,4.49,50.32,158.8,1.24,87.46,198.82,0.37,133.22,0.59,5.93,0.03,0.03,0.03,0.18,5.55,,1.13,16.7,264.9,11.82,0.12,3.44,0.16,290.93,33.92,311.99,0.25,167.75,10.86,3.88,3.57,8.73,1.25,9.48,318.39,8.3,0.64,0.05,0.23,1.03
chicken_curry,チキンカレー,11443.33,3800.86,364.14,,,32.77,37.87,0.27,115.47,1.52,,14.98,8.03,3.74,8.74,,,0.38,4.02,,2601.44,27705.64,1638.06,1995.25,487.15,1231,857,808.42,118.23,3.58,1486.07,4619.21,1245.1,22.41,29.95,345.2,1201.7,8.46,1756.61,1400.72,3.26,995.45,11.29,151.28,0.27,0.54,0.33,0.54,14.38,0.22,2.01,89.2,1316.56,84.21,1.47,86.71,6.02,2084.45,381.88,2274.8,4.02,1132.57,97.4,12.91,4.4,31.53,14.22,35.27,2207.3,49.32,4.4,0.38,4.4,3.47
gyoza,餃子,3480,1560,79.2,,,21.6,1.2,,16.8,,,,,,,,,0.08,1.64,,600,8160,384,432,252,324,236,240,36,,468,2160,324,,8.52,85.2,264,0.96,588,372,,192,,15.6,0.11,,0.12,,7.2,,0.24,,708,,,,,396,84,552,,276,28.56,3.82,1.73,8.26,2.66,9.72,552,,1.2,,1.44,
sashimi,刺身,5203.41,471.98,193.67,18.57,367.64,39.59,28.88,155.05,366.09,1854.8,31.34,7.74,537.88,59.42,3530.2,,,6.7,1.03,,9245.01,94250.02,5449.97,5539.99,1376,4400.01,888,2000.57,57.76,3.09,4595,13039.99,3728,369.07,126.86,1127.49,4338.01,56.44,602.11,4900.01,3.5,8019.99,22.63,209.09,0.69,23.55,0.86,2.87,6.76,31.23,7.56,2.52,3398.52,229.83,0.06,0.8,80.91,8599.99,1287.7,7504.98,5.21,3878.98,3.38,8.94,7.79,25.79,8.82,35.93,6940,80.79,5.67,0.69,1.55,
chicken_quesadilla,チキンケサディーヤ,2302.8,1067.14,194.04,,,,,,,,,,,,,,,0.2,1.08,,550.8,9028.8,257.3,312.8,248.48,408,233,56.84,165.62,0.68,218.2,2300.8,419,2.1,8.58,108.5,290.26,0.29,431.7,526.2,0.24,248.68,0.44,65,0.05,0.8,0.12,,,,0.64,3.9,1008.68,9.27,0.16,4.5,,539.36,207.24,784.16,0.92,310.14,26.97,2.57,1.26,8.31,4.34,9.1,867.04,10.03,0.3,0.04,1.1,0.9
hamburger,ハンバーガー,7378.05,2705.2,416.48,,,6.88,18.7,2.1,48.4,5.59,,5.62,12.54,,10.29,,,0.46,2.8,,1481.26,18937.5,1062.3,1186.26,424.46,826.15,422,446.9,41.89,0.66,1276.89,3842.5,776.24,3.87,20.8,213.45,726.29,4.15,706.89,919.4,1.38,588.4,3.43,33.06,0.15,1.11,0.24,0.35,8.46,0.22,1.84,16.23,1331.56,39.02,0.33,2.4,1.75,1244.05,206.7,1423.79,3.69,734.99,39.7,8.04,3.21,16.69,5.42,19.08,1437.95,50.08,2.62,0.22,1.77,2.36
scallops,ホタテ,40.7,2.2,3.3,1.1,11,1.1,1.1,2.2,4.4,90.2,4.4,,1.1,2.2,23.1,,,0.13,0.01,,1210,12100,693,990,220,495,79,341,24.2,,1870,1760,528,,14.85,110,561,1.87,352,517,0.73,275,,25.3,0.06,12.54,0.32,0.08,3.3,,0.99,1.1,396,64.9,0.13,,,880,231,858,2.97,517,1.65,0.1,0.17,0.46,0.2,0.99,814,95.7,2.42,0.14,0.88,
chicken_wings,手羽先,5900,1900,110,,,28,24,,68,7,,17,15,,20,,,0.15,2.03,,,,,,,,211,180,10,,,,,,17.5,,,4.8,76,,1.01,,,59,0.04,0.3,0.11,0.27,2,0.1,0.3,51,,14,0.01,,,,100,,1.2,,0,6.87,2.18,13.26,4.21,14.6,,9,0.5,0.03,0.2,
hot_and_sour_sou,酸辣湯,639.65,490.99,25.86,,,3.31,1.55,,11.85,0.05,,0.89,1.03,,7.34,,,0.04,0.5,,189.36,1548.01,90.74,78.85,39.06,74.4,55,238.91,17.43,0.43,60.82,261.21,99.44,2.85,4.24,16.29,70.6,2.23,1226.57,90.2,0.61,38.22,2.89,11.51,0.25,0.09,0.11,0.11,1.09,0.29,0.16,3.42,87.19,20.05,0.11,4.03,1.37,101.73,97.39,119.2,0.39,61.73,4.51,0.68,0.53,1.69,0.46,2,129.03,14.74,0.48,0.04,3.17,0.64
seaweed_salad,海藻サラダ,13.35,41.4,7.06,,,,,,,,,,,,,,,,0.02,,123.75,985.5,33.91,35.55,38.7,28.05,70,606.86,62.11,,33.16,394.49,38.39,1.64,3.06,8.99,31.96,1.64,1676.13,30.44,0.39,21.45,4.02,97.58,0.12,0.02,0.07,0.14,26.34,9.69,1.57,37.4,29.69,74.25,0.17,3.37,50.56,44.25,83.65,44.99,0.39,26.7,16.87,0.02,0.05,0.1,0.02,0.34,57,63.55,0.77,0.07,4.27,4.65
chocolate_cake,チョコケーキ,6776.49,1025.75,105.91,,2.49,9.1,26.01,4,67.15,7,,2.03,13.31,,28,,,0.15,1.14,,370,3914.99,198.75,233,83.01,182,438,201.24,73.39,3.2,141.25,722.49,265.49,8.35,5.76,56.75,170.75,0.3,52.11,231.76,0.67,97,6.71,241.84,0.05,0.3,0.2,0.04,,0.77,0.77,10.79,229.75,25.52,0.1,3.71,5.98,233.5,116.29,308,0.75,207.25,35.81,7.53,1.29,26.34,17.55,30.09,372,13.65,1.19,0.21,0.17,1.34
hot_dog,ホットドッグ,8085.19,2987.91,191.37,,,72,14.4,1.19,47.4,1.81,,,17.4,,16.2,,,0.22,3.14,,241.7,5447.01,171.81,184.8,217.19,197.21,414,262.24,46.94,0.82,197.3,1830.01,262.5,8.46,14.07,59.2,158.6,2.03,1062.8,230.19,0.86,124.6,2.68,11.27,0.24,0.25,0.13,0.16,7.32,0.24,1.41,9.51,632.69,35.98,0.35,2.46,0.36,113.61,180.27,380.6,1.71,196.3,39.58,8.89,3.33,19.19,6.89,22,445.9,39.64,1.51,0.16,2.72,1.57
shrimp_and_grits,シュリンプアンドグリッツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate_mousse,チョコレートムース,6554.38,851.7,77.78,,1.17,6.11,13.57,2.1,43.33,3.73,,1.65,7.77,,22.36,,,0.11,0.93,,262.48,2751.7,143.06,163.11,43.09,133.78,369,209.9,115.21,9.42,86.11,369.98,192.44,8.63,5.38,37.88,128.8,0.47,56.4,167.1,0.9,68.97,7.9,143.51,0.08,0.22,0.26,0.05,,0.84,0.65,7.97,127.54,31.35,0.16,8.4,12.24,197.33,137.46,234.77,0.9,143.61,28.85,7.07,1.04,22.65,14.58,25.46,261.44,14.87,1.28,0.22,0.17,1.49
huevos_rancheros,ウエボスランチェロス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spaghetti_bolognese,スパゲッティボロネーゼ,,,,,,,,,,,,,,,,,,,,,,,,,,,298,737.5,50.15,,,,,,11.21,,,4.13,1799.5,,,,,144.55,0.41,,0.15,,17.7,,,,,,,,,,138.65,,,,29.8,,,,,14.75,,,2.36,,4.43,
churros,チュロス,1320,809,122.14,,,0.96,3.3,,12.3,,,0.54,0.48,,7.2,,,0.13,0.83,,163.6,2832,102.2,120,101.6,111,149,31.5,13.89,0.45,100.2,856,153.8,6.94,2.83,35.6,91.6,0.2,31.91,134.2,0.22,67.4,1.86,24.31,0.02,0.05,0.04,0.01,0.21,0.13,0.36,3.84,288.6,4.95,0.3,4.49,1.05,95.4,26.38,206,0.22,129.8,22.67,1.41,0.95,4.3,1.92,4.93,243.2,5.17,0.38,0.03,0.08,0.52
hummus,フムス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spaghetti_carbonara,カルボナーラ,11600.52,5399.01,744.92,,2.03,36.36,23.36,3.88,120.73,6.61,,4.5,14.8,,60.9,,,0.81,5.65,,698.01,6570.02,365.11,412.21,101.69,332.6,779,173.85,179.86,2.81,218.51,907.99,487.99,86.63,26.32,97.18,316.98,1.92,1578.09,418.01,1.59,171.19,16.35,214.82,0.26,0.89,0.41,0.15,7.01,1.18,2.21,25.84,292.99,60.68,,34.22,10.41,490.02,342.64,553.98,3.25,365.7,72.38,12.7,6.46,34.84,15.72,39.49,654.01,32.59,2.58,0.37,3.95,3.76
clam_chowde,クラムチャウダー,5500.48,1694.2,287.06,,0.49,11.81,15.19,1.25,32.24,4.15,,,3.94,0.98,8.64,,,0.31,1.74,,530.9,4751.38,255.56,338.85,134.14,178.78,369,675.92,197.6,5.37,296.54,991.87,200.95,23.28,10.7,56.42,188.64,2.06,1446.17,215.51,1.46,100.72,14.74,284.9,0.17,25.61,0.31,0.28,29.41,0.49,1.18,10.59,248.9,83.26,0.28,14.11,47.29,281.62,233.56,301.98,1.46,179.62,32.03,6.06,2.09,19.1,10.94,21.75,352.54,39.28,2.44,0.17,3.66,2.54
ice_cream,アイスクリーム,3675,420,89.25,33.25,,29.75,21,,35,7,,,,,,,,0.09,0.53,,,,,,,,315,332.5,245,,,,,,6.83,,,0.18,192.5,,0.88,,,101.5,0.11,0.35,0.35,0.04,,0.18,0.35,5.25,,22.75,0.02,,,,210,,0.7,,40.6,4.06,0.63,12.79,8.12,14,,,0.18,0.02,0.53,
spring_rolls,春巻,6801.95,5298.99,974.56,,,14.09,3.9,,17.1,0.29,,2.09,3.3,,0.89,,,0.98,5.35,,207.4,1290.01,73.26,63.98,56.74,59.85,292,318.39,23,0.67,53.25,218.56,65.93,0.73,10.78,17.87,58.88,2.81,440.22,74.6,0.84,35.37,2.12,47.6,0.34,0.09,0.16,0.18,5.98,0.53,2.59,54.16,58.04,24.38,0.34,4.44,0.37,72.34,112.91,89.76,1.11,32.85,21.46,7.05,6.31,16.09,2.71,17.62,98.8,46.84,0.84,0.12,1.11,3.11
club_sandwich,クラブサンドイッチ,,,886,,,,,,,4,,,,,71,,,0.97,5.92,,,27716,1457,1608,,1255,653,606,65,2,1202,,,48,29,345,,14,1000,1388,2.3,,19.7,204,0.27,0.8,0.35,0.39,21,1.1,3.4,60,1549,51,0.3,19,21,,329,2181,1.9,,37.9,14.72,6.9,,15.49,41.9,,85,1.9,0.21,2.5,2.8
lasagna,ラザニア,4667.53,2203.64,391.29,,0.12,2.14,12.16,1.41,20.3,2.43,,1.25,4.86,,0.17,,,0.41,2.26,,309.4,3638.49,229.05,253.95,66.55,164.9,290,360.08,107.71,1.41,284.31,619.99,133.75,16.44,10,40.9,146.2,1.78,1005.45,180.05,0.87,122.34,5.21,111.63,0.1,0.5,0.19,0.17,4.98,0.23,1.97,15.67,221.41,31.29,0.12,11.91,9.79,280.76,146.27,277.9,1.6,142.4,24.7,5.08,2.64,14.17,6.47,16.06,264.76,19.2,1.06,0.15,2.53,1.72
steak,ステーキ,10000,1598.91,319.5,,,6,25.01,7,39.5,5.01,,4,25.01,,,,,0.35,1.68,,154.69,767.99,38.96,40.12,31.77,28.63,437,550.66,22.83,2.07,25.96,128.01,36.2,0.31,18.9,10.14,31.42,4.16,949.8,44.05,1.28,17.33,1.53,296.88,0.12,1.82,0.23,0.33,13.74,0.5,1.49,21.34,28.67,31.11,0.12,6.38,0.31,45.21,178.1,43.08,5.98,23.85,11.96,11.03,2.05,28.48,15.44,32.62,57.5,26.7,1.51,0.12,2.4,1.45
crab_cakes,クラブケーキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lobster_bisque,ロブスタービスク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strawberry_shortcake,イチゴのショートケーキ,5358,889.85,96.91,,2.49,9.1,26.01,4,67.15,7,,2.03,13.31,,28,,,0.14,1,,354.5,3646.49,186.4,210.3,79,170.7,366,101.73,42.45,0.2,126.61,670.99,249.25,7.6,4.59,51.69,157.4,0.15,43.69,212.75,0.49,91,5.88,233.66,0.04,0.3,0.14,0.04,9.3,0.64,0.72,9.99,212.7,7.22,0.08,3.68,3.75,223.05,74.44,289,0.4,196.15,29.05,6.06,1.15,21.94,14.75,25.3,342.41,24.12,0.59,0.05,0.14,0.46
creme_brulee,クレームブリュレ,5594,1009.2,87.65,,2.25,13.02,27.8,4.2,93.9,7.35,,3.77,15.83,,50.75,,,0.16,1.18,,267,2935,135.45,189.3,48.75,144.1,294,69.81,63,0.45,82.65,409,218.5,8.63,3.55,38.1,144.5,0.02,24.54,166.5,0.7,77.6,9.27,243.6,0.05,0.53,0.13,0.03,0.15,1.05,0.82,11.8,159.1,4.86,0.01,8.72,12.5,223.5,110.55,263,0.7,122.05,12.13,6.34,1.35,21.66,13.98,25.18,263,18.95,0.83,0.04,0.08,
lobster_roll_sandwich,ロブスターロール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sushi,寿司,1868.9,692.8,65.51,1.44,37.43,11.88,10.05,66.37,76.46,533.11,4.4,2.65,206.55,8.3,698.49,,,1.64,0.82,,1148.09,11784.17,669.12,842.92,225.29,522.75,588,612.64,83.43,0.93,573.27,1944.27,544.4,33.96,35.48,149.18,478.97,6.12,1940.96,643.03,1.95,659.15,4.71,200.44,0.31,15.42,0.35,0.43,9.46,13.2,4.71,23.49,498.05,102.28,0.97,69.68,8359.18,763.77,491.16,962.57,3.04,502.22,85.81,2.49,2.41,6.82,1.91,9.74,961.21,107.97,2.49,0.62,4.99,1.75
croque_madame,クロックマダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macaroni_and_cheese,マカロニアンドチーズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacos,タコス,1955.95,759.34,130.67,,,1.36,4.25,0.51,8.84,1.39,,1.19,2.89,,0.17,,,0.13,0.77,,443.06,5878,286.94,328.43,141.22,259.65,145,152.97,40.68,0.42,336.56,1267.7,242.41,1.76,6.01,67.62,213.46,1.07,450.62,298.02,0.37,177.89,0.9,23.44,0.05,0.34,0.06,0.1,6.87,0.02,0.57,8.74,472.58,10.48,0.12,2.97,1.05,383.52,71.43,453.92,1.02,227.21,15.73,2.16,0.89,5.1,1.97,5.77,468.66,18.95,0.62,0.03,1.14,0.92
cup_cakes,カップケーキ,1983.2,380.16,42.84,,,1.62,8.68,0.02,25.12,0.02,,0.9,0.84,,12,,,0.05,0.42,,172,2208,99,114,58.8,97,176,56,25.86,0.24,77,508,139,3.74,2.31,30,85.6,0.09,56.96,119,0.23,53.8,2.69,94.76,0.03,0.11,0.04,0.01,0.02,0.26,0.28,3.74,167.8,2.95,0.06,2.02,1.92,110.6,52.26,169.6,0.19,113.4,19.43,2.26,0.48,8.36,5.62,9.62,200.4,5.58,0.29,0.02,0.14,0.3
macarons,マカロン,562.7,103.11,14.93,,,0.38,2.48,,6.39,,,0.2,0.18,,2.66,,,0.01,0.11,,55.05,719.2,33.12,36.6,17.7,31.33,69,14.88,3.25,0.07,24.66,151,44.2,1.15,0.78,9.57,27.89,0.03,6.2,39.15,0.07,16.94,0.73,31.86,,0.02,0.01,,0.12,0.06,0.13,6.83,49.66,1.33,0.02,0.53,0.41,36.54,7.87,55.64,0.05,37.81,10.09,0.64,0.13,2.44,1.64,2.79,64.91,3.71,0.11,,0.02,0.16
takoyaki,たこ焼き,2785.75,2375.02,371.44,0.12,0.23,3.58,3.09,0.15,36.09,10.58,0.06,1.83,3.33,1.77,52.6,,,0.43,2.42,,934.01,11390,543,654.99,285,494,317,245.58,42.16,1.21,523,2484,601,8.51,12.57,140,467,2.09,531.24,567,0.7,363,6.25,40.14,0.11,1.26,0.17,0.09,0.56,0.48,1.49,11.42,791.01,34.53,0.4,7.39,17.27,659,133.01,866.99,0.88,501,44.98,2.9,2.87,7.13,1.35,8.19,930,16.25,1.72,0.19,1.35,1.84
deviled_eggs,デビルドエッグ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miso_soup,味噌汁,61.2,180,36,,,,,,,,,,,,,,,0.03,0.19,,131.99,1188,57.6,85.19,26.4,55.19,31,141.61,14.4,0.24,52.8,216,62.4,0.24,1.63,14.4,46.8,1.62,342.4,63.61,0.05,34.8,0.65,,0.03,0.48,0.03,0.02,,,0.03,0.96,63.61,10.23,,3.96,,59.99,36.4,98.4,0.1,32.4,5.02,0.05,0.22,0.34,0.05,0.36,110.41,4.13,0.41,0.03,0.89,0.67
tiramisu,ティラミス,5606.74,1023.16,114.29,,2.65,11.61,21.98,5.47,83.27,9.87,,3.48,17.44,,48.24,,,0.19,1.16,,495.8,5600,266.86,338.63,117.82,251.65,398,261,65.58,0.42,196.7,996.8,368.51,10.3,8.68,77.32,244.9,0.41,126.43,318.5,0.82,135.32,9.48,215.48,0.07,0.44,0.22,0.04,,0.87,1.03,11.76,330.49,35.25,0.08,5.77,7.7,325.39,157.77,445.7,1.25,266.52,35.2,6.32,1.35,21.62,13.95,25.17,507.8,23.6,1.69,0.26,0.35,1.73
donutsドーナツ,3002.1,2346.08,436.55,,,0.59,2.31,0.11,7.16,0.11,,0.27,0.46,,3.6,,,0.45,2.36,,132,2664,86.7,102.9,105.3,99.3,224,45.14,18.42,0.28,94.8,882,135.3,7.39,3.09,32.4,79.2,0.26,126.71,119.1,0.27,62.7,2.23,24.48,0.06,0.06,0.05,0.01,0.11,0.1,0.93,11.53,299.1,5.96,0.09,5.21,2.24,72,33.96,189.3,0.23,116.4,31.96,3.14,2.8,8.1,2.15,8.92,223.2,16.05,0.29,0.03,0.32,0.66
mussels,ムール貝,4.8,1.2,0.96,0.12,1.56,0.36,0.12,0.24,2.4,16.8,0.96,,1.2,0.36,11.76,,,0.03,0,,,,,,,,8,27.6,5.16,,,,,,1.24,,,0.17,64.8,,0.08,,,4.08,0,1.24,0.04,0,0.6,,0.13,,,8.76,0.1,,,,19.2,,0.12,,0.38,0.02,0.04,0.08,0.03,0.17,,5.04,0.42,0.01,0.17,
tuna_tartare,マグロのユッケ,3708.91,3360.6,50.49,,3,5.36,5,2,51.2,13.5,,2.61,7.84,,94.2,,,0.18,3.44,,1508.04,15608.2,859.26,945.44,242.17,747.44,210,327.36,49.4,0.54,669.4,2265.11,674.9,61.48,16.73,185.37,687.97,7.66,679.2,820.46,0.72,1280.36,8.54,107.25,0.11,0.94,0.14,0.59,1.69,3.03,1.21,5.48,576.43,43.17,0.2,9.87,11.69,1340.49,228.57,1251.81,0.88,617.33,7.47,3.9,3.6,9.54,2.04,11.13,1152.21,27.59,1.74,0.11,1.72,1.45
dumpling,包子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nachos,ナチョス,8521.18,4146.26,816.15,,,1.59,5.01,0.59,10.4,1.59,,1.41,3.39,,0.2,,,0.82,4.19,,1258.74,17651.75,640.92,751.22,437.15,820.09,487,338.78,287.73,1.07,629.34,4023.13,798.01,7.99,17.62,204.48,597.95,1.89,772.5,1000.19,0.77,506.59,3.39,152.45,0.11,0.98,0.23,0.18,14.13,0.02,2.96,27.38,1707.61,30.07,0.3,11.27,7.24,1152.36,270.57,1461.26,2.57,644.2,41.04,9.26,4.98,24.26,9.65,26.63,1593.7,37.9,1.34,0.11,1.93,2.23
waffles,ワッフル,2180.38,1375.31,230.96,,,1.34,4.15,0.06,16.18,0.06,,0.72,0.77,,9.6,,,0.23,1.41,,184.5,2892,112.7,131.4,92.6,117.8,212,56.67,17.06,0.47,101.8,795,164.8,3.68,3.24,37.4,99.3,0.29,93.35,142.1,0.3,68.5,3.94,44.41,0.07,0.09,0.07,0.03,0.07,0.2,0.59,7.18,266.9,4.85,0.12,3.42,2.3,112.6,41.24,213.4,0.22,140.3,31.34,2.33,1.65,6.76,2.79,7.63,250.1,24.87,0.37,0.03,0.24,0.74
edamame,枝豆,2622,3036,717.6,,,,,,,,,,,,,,,0.72,3.11,,2070,16560,731.4,1159.2,386.4,717.6,186,814.2,80.04,1.38,703.8,2898,841.8,1.38,16.15,207,621,2.21,1.38,759,0.73,469.2,15.32,30.36,0.43,,0.21,0.21,37.26,,1.1,41.4,841.8,85.56,0.98,331.2,,1007.4,234.6,1214.4,1.93,455.4,12.14,2.59,3.82,7.58,1.16,8.56,1366.2,441.6,3.73,0.57,,6.9
omelette,オムレツ,8201.59,3492.81,359.2,,,46.39,23.99,,201.61,,,14.81,17.2,,151.6,,,0.52,3.81,,2231.96,21533,1315.2,1474.51,349.49,1050.31,353,466.01,77.53,1.5,1103.7,3072.51,1356.16,40.61,23.08,300.94,988.1,2.75,907.1,1287.66,2.42,615.21,31.75,198.81,0.35,1.25,0.61,0.33,6.65,2.35,2.47,26.86,995.65,30.03,0.09,8.95,19.9,1647.35,307.85,1771.24,2.7,1111.64,11.16,8.67,4.32,19.15,6.13,22.44,1940.25,60.84,2.87,0.19,2.35,1.18
